Title,Year,Rating,Votes,1,2,3,4,5,6,7,8,9,10,WorldwideBox Office
Da hong deng long gao gao gua,1991,8.1,32808.0,6674.0,7903.0,9799.0,4603.0,1619.0,727.0,318.0,216.0,215.0,734.0,2603061.0
Dead Again,1991,6.8,28577.0,2622.0,2913.0,5997.0,7936.0,4837.0,2124.0,936.0,495.0,275.0,442.0,38016380.0
Defending Your Life,1991,7.2,19279.0,2619.0,2391.0,4461.0,4924.0,2665.0,1182.0,409.0,216.0,146.0,266.0,16371128.0
Delicatessen,1991,7.6,85610.0,11075.0,14823.0,26720.0,18622.0,7475.0,3055.0,1395.0,848.0,585.0,1012.0,1794187.0
Doc Hollywood,1991,6.3,37241.0,1904.0,1513.0,4372.0,9001.0,11009.0,5782.0,2131.0,777.0,410.0,342.0,54830779.0
Don't Tell Mom the Babysitter's Dead,1991,6.3,34023.0,3432.0,1691.0,3862.0,7047.0,8064.0,5026.0,2537.0,1319.0,596.0,449.0,25196249.0
The Doors,1991,7.2,93031.0,9422.0,9906.0,23056.0,27667.0,13000.0,5183.0,2085.0,1032.0,699.0,981.0,34488000.0
Double Impact,1991,5.6,41285.0,3275.0,1168.0,2969.0,5981.0,9764.0,9130.0,4592.0,2229.0,1150.0,1027.0,30102717.0
La double vie de Véronique,1991,7.7,48868.0,8518.0,8853.0,13612.0,9323.0,4248.0,1926.0,859.0,502.0,371.0,656.0,2175939.0
Drop Dead Fred,1991,5.9,29528.0,4780.0,1724.0,3222.0,4719.0,4984.0,3801.0,2371.0,1467.0,996.0,1464.0,13878411.0
Dutch,1991,6.5,12889.0,1272.0,767.0,1878.0,3069.0,3041.0,1493.0,684.0,313.0,163.0,209.0,4603929.0
Dying Young,1991,6.0,16456.0,1260.0,757.0,1672.0,3216.0,4271.0,2743.0,1208.0,603.0,282.0,444.0,82264675.0
Ernest Scared Stupid,1991,5.7,11718.0,1894.0,475.0,1078.0,1672.0,2177.0,1782.0,1002.0,670.0,421.0,547.0,14143280.0
Europa,1991,7.6,21514.0,2953.0,3716.0,6164.0,4683.0,1985.0,926.0,408.0,200.0,163.0,316.0,1022282.0
F/X2,1991,5.8,11037.0,353.0,233.0,755.0,1885.0,3210.0,2422.0,1229.0,619.0,187.0,144.0,21082165.0
Father of the Bride,1991,6.5,77231.0,5821.0,4346.0,11337.0,21403.0,19644.0,8606.0,3221.0,1345.0,738.0,770.0,89325780.0
The Fisher King,1991,7.5,85834.0,9982.0,12795.0,25891.0,21264.0,9083.0,3433.0,1503.0,749.0,492.0,642.0,41895491.0
Frankie and Johnny,1991,6.7,32024.0,2533.0,2009.0,5513.0,10085.0,7250.0,2783.0,935.0,428.0,217.0,271.0,22773535.0
Freddy's Dead: The Final Nightmare,1991,4.7,46771.0,2952.0,830.0,2124.0,4387.0,7691.0,10508.0,7922.0,4747.0,2980.0,2630.0,34872033.0
Fried Green Tomatoes,1991,7.7,75131.0,14487.0,12352.0,20775.0,15561.0,6512.0,2564.0,1075.0,596.0,442.0,767.0,119418501.0
Grand Canyon,1991,6.9,15951.0,1408.0,1589.0,3130.0,4279.0,2791.0,1331.0,591.0,338.0,177.0,317.0,40991329.0
Gu ling jie shao nian sha ren shi jian,1991,8.3,10460.0,3179.0,2475.0,2292.0,1249.0,619.0,264.0,118.0,85.0,59.0,120.0,77430.0
The Hard Way,1991,6.3,20999.0,1055.0,802.0,2475.0,5778.0,6305.0,2813.0,1004.0,371.0,184.0,212.0,65595485.0
Harley Davidson and the Marlboro Man,1991,6.1,20551.0,2104.0,960.0,2394.0,4091.0,4741.0,2860.0,1522.0,821.0,525.0,533.0,7434726.0
Hearts of Darkness: A Filmmaker's Apocalypse,1991,8.1,21454.0,3100.0,4873.0,8133.0,3714.0,986.0,272.0,92.0,51.0,58.0,175.0,1318449.0
Highlander II: The Quickening,1991,4.2,46152.0,2674.0,581.0,1323.0,3028.0,5244.0,7642.0,7801.0,6022.0,5232.0,6605.0,15556340.0
Hook,1991,6.8,253905.0,25035.0,19045.0,45585.0,71182.0,50700.0,23233.0,9524.0,4399.0,2449.0,2753.0,300854823.0
Hot Shots!,1991,6.7,108735.0,7528.0,6591.0,18601.0,34340.0,24259.0,9679.0,3879.0,1832.0,982.0,1044.0,181096164.0
Hudson Hawk,1991,5.7,56881.0,3749.0,2491.0,6012.0,10241.0,12172.0,9376.0,5272.0,3242.0,2060.0,2266.0,17218080.0
JFK,1991,8.0,156113.0,27509.0,31187.0,49892.0,27357.0,10073.0,4253.0,1830.0,1127.0,869.0,2016.0,205405498.0
Johnny Stecchino,1991,7.2,10917.0,1088.0,1153.0,2868.0,3514.0,1362.0,477.0,182.0,102.0,62.0,109.0,626057.0
Jungle Fever,1991,6.6,18628.0,1075.0,1022.0,3145.0,5341.0,4139.0,1706.0,718.0,381.0,277.0,824.0,43882682.0
Kafka,1991,6.8,10103.0,796.0,981.0,2107.0,2985.0,1717.0,764.0,318.0,176.0,120.0,139.0,1059071.0
King Ralph,1991,5.4,16253.0,702.0,316.0,880.0,2208.0,3684.0,3971.0,2149.0,1161.0,667.0,515.0,52487045.0
L.A. Story,1991,6.7,32985.0,2726.0,2663.0,5869.0,9100.0,6688.0,3252.0,1302.0,598.0,347.0,440.0,28862081.0
The Last Boy Scout,1991,7.0,103617.0,8494.0,8472.0,20865.0,33654.0,19308.0,7373.0,2726.0,1248.0,675.0,802.0,59509925.0
Life Stinks,1991,5.9,10648.0,766.0,328.0,957.0,1954.0,2696.0,1965.0,940.0,503.0,285.0,254.0,4102526.0
Little Man Tate,1991,6.6,15136.0,865.0,823.0,2406.0,4895.0,3674.0,1491.0,505.0,193.0,115.0,169.0,25010896.0
Love Potion No. 9,1992,5.7,14418.0,846.0,488.0,1158.0,2454.0,3463.0,3056.0,1502.0,734.0,394.0,323.0,754935.0
The Man in the Moon,1991,7.3,17019.0,2750.0,2160.0,4057.0,4448.0,2074.0,803.0,322.0,158.0,76.0,171.0,2853801.0
Mediterraneo,1991,7.4,15431.0,2027.0,2206.0,4418.0,4029.0,1562.0,622.0,226.0,96.0,73.0,172.0,4532791.0
My Girl,1991,6.9,81520.0,9316.0,6272.0,14866.0,24419.0,15920.0,6211.0,2246.0,1007.0,555.0,708.0,59489799.0
My Own Private Idaho,1991,7.0,56771.0,7219.0,6234.0,12364.0,14486.0,7927.0,3749.0,1925.0,1076.0,680.0,1111.0,6401336.0
The Naked Gun 2½: The Smell of Fear,1991,6.9,113860.0,8700.0,7634.0,20735.0,38118.0,23545.0,8874.0,3113.0,1443.0,828.0,870.0,86930411.0
Naked Lunch,1991,6.9,52060.0,5526.0,5918.0,11774.0,13109.0,7470.0,3513.0,1847.0,1044.0,732.0,1127.0,2641357.0
Necessary Roughness,1991,6.1,12260.0,800.0,504.0,1394.0,2766.0,3278.0,1952.0,815.0,398.0,161.0,192.0,26255594.0
New Jack City,1991,6.6,35608.0,3011.0,2148.0,6106.0,10298.0,7793.0,3459.0,1289.0,612.0,334.0,558.0,47624353.0
Night on Earth,1991,7.7,60868.0,7975.0,10950.0,20164.0,13089.0,4846.0,1890.0,735.0,370.0,304.0,545.0,2113387.0
Not Without My Daughter,1991,6.4,13561.0,1519.0,911.0,1885.0,2994.0,2603.0,1391.0,620.0,330.0,265.0,1043.0,14789113.0
Nothing But Trouble,1991,5.0,24923.0,2300.0,859.0,1847.0,3096.0,3765.0,3828.0,2671.0,1998.0,1568.0,2991.0,8479793.0
Omohide poro poro,1991,7.6,32581.0,4287.0,5148.0,9594.0,7747.0,3321.0,1193.0,489.0,279.0,202.0,321.0,545825.0
One False Move,1992,7.1,12069.0,860.0,1234.0,3043.0,3630.0,1925.0,730.0,293.0,144.0,78.0,132.0,1543112.0
Only the Lonely,1991,6.3,11451.0,922.0,540.0,1423.0,2747.0,3219.0,1538.0,582.0,209.0,128.0,143.0,25092802.0
Oscar,1991,6.5,32321.0,4951.0,2782.0,5022.0,6323.0,5257.0,3443.0,1938.0,1036.0,694.0,875.0,23562716.0
Out for Justice,1991,6.1,24113.0,2219.0,1040.0,2673.0,4604.0,5952.0,3853.0,1717.0,857.0,476.0,722.0,39673161.0
Point Break,1991,7.2,182505.0,18751.0,19361.0,46886.0,56573.0,25306.0,8959.0,3323.0,1484.0,818.0,1044.0,83531958.0
The Prince of Tides,1991,6.8,18320.0,2047.0,1551.0,3241.0,4546.0,3356.0,1547.0,727.0,446.0,346.0,513.0,74787599.0
Problem Child 2,1991,4.8,22480.0,2049.0,598.0,1267.0,2134.0,3119.0,3748.0,2904.0,2174.0,1828.0,2659.0,32704700.0
Quigley Down Under,1990,6.9,22518.0,2464.0,2085.0,4501.0,6444.0,3903.0,1689.0,724.0,301.0,161.0,246.0,21413105.0
